text,length,words,spam
research support for eb barri thank for the time email i have your name on my list of peopl to contact thi week as kevin hannon had mention to me just yesterday that our group might be abl to help you in translat posit for the new risk system for eb you are right that i haven t been spend much time on martin lin ha been take the lead in day to day manag of most of the current project that we are support we have been somewhat short hand sinc samer takriti left the group last fall and we were out bid by mckinsey for cantekin dincerl who had help us with eb project as an intern over the summer howev we do have addit help come iri mack a veri bright new hire who come with signific consult and risk manag experi will be start with the group next week i am hope that togeth with martin she will allow us to significantli increas the research group presenc on and address area which are current undersupport can i get on your schedul some time next week in order to map out the area where we could best contribut to the risk manag project and to introduc iri and martin to you almost ani time would be fine or you can have your assist coordin with shirley crenshaw x regard stinson x,1185,234,0
fwd credit applicatiion in grm return path receiv from rli yho mx aol com rli yho mail aol com by air yho mail aol com v _ bl with esmtp fri jan receiv from mailman enron com mailman enron com by rli yho mx aol com v _ bl with esmtp fri jan receiv from dservl ect enron com dservl ect enron com by mailman enron com corp with esmtp id waal for fri jan gmt receiv from note ect enron com note ect enron com by dservl ect enron com with smtp id qaa for fri jan cst receiv by note ect enron com lotu smtp mta v id bf c fri jan x lotu fromdomain ect from vinc j kaminski to vkaminski aol com messag id date fri jan subject credit applicatiion in grm mime version content type text plain charset us ascii content disposit inlin content transfer encod bit forward by vinc j kaminski hou ect on pm bjorn hagelmann am to william s bradford hou ect ect jonathan le hou ect ect gari hickerson hou ect ect philipp a bibi hou ect ect vinc j kaminski hou ect ect cc rick buy hou ect ect mike mcconnel hou ect ect subject credit applicatiion in grm thi note is from ted murphi not bjorn hagelman my understand is that yet anoth meet ha been schedul with the intent of divert resourc from the grm project to some other project while i am not privi to the urgenc of thi other project i do know that we have a veri larg multi phase project go in grm grm stand for the global risk monitor system it is not intend to be a commerci trade product not is it primari purpos for commerci decis make conceptu it is a risk warehous for the primari purpos of rac due to the defici of current front offic trade system and their inabl to provid time aggreg inform use to rac rac ha spent over a year develop a busi plan scope and detail task list to accomplish it object as a firm we are woefulli behind our press clip in our abil to aggreg and understand our risk profil my most recent sojorn in europ is a classic exampl of the current system inabilti to aggreg and meet the need of rac have abet poor decis make and caus cash loss in well in excess of the grm budget or that of the market risk group in rac the grm project is a requir that bill bradford and i have in order to do our job we have deleg author to debbi brackett and rudi zipter to make decis regard prioriti and as such meet regularli with jonathon and hi team as well as rick buy to provid updat while progress is never as fast as we would like it in everi instanc in which we have onli to reli on rac jonathon s team and research to make a deadlin it haa been hit the primari reason for ani delay whatsoev ha been the divers of resourc off the project or the relianc for cooper from some other sourc most recent the it staff in london wa a tremend impedi to deadlin pleas excus the frustrat that is appar come through in thi note but i feel like the boy with hi finger in the dyke and no one is listen also i have had sever employe come to resign over their frustrat on the lack of manag support for thi project usual manifest itself in the lack of resourc or the divers of resourc devot to it i think we have proven collect that we can organ a modular multiphas project and provid tangibl deliver when not distract pleas let us do our job i do not denigr the effort of other but i believ that they must either submit their detail requir to us for our consider of their worthi to put in our que or develop their own project with their own resourc thank you for your consider of thi opinion as it relat to thing that will effect the abil of market risk to do it job pleas consult me as i would you ted,3541,709,0
custom warez cd introduct we sell backup cd also known as warez cd backup cd are copi of softwar for exampl if you go into a shop and buy window xp pro for about you get the serial the cd the box and the manual if you order it off us you get the window xp cd and the serial number it work exactli the same but you don t get the manual and box and the price is onli that is a save of and the onli differ is you don t have a color box and manual which are not veri use featur over applic over game we repli at all your request in a few hour newest releas we have the best price on the web best choic of cd s ever seen on web we ship order to worldwid secur credit card process thru our author on line retail your inform will be pass through a secur server and encrypt bit no need to worri about someon will steal you credit card detail most popular cd s adob photoshop finallonli ms window xp pro onli ms offic xp pro cd s onli gratitud s of our custom john stewartthank guy i just got the set of cd s and they work as promis you got a happi custom readi to order some more and i ll send more custom mike sandelli onli want you to now that the cd i order had arriv i wa a littl suspici when i order the stuff but i wa wrong thank for your servic and never let the site go down chri andersontop mark for an excel servic your speed of respons to my queri wa second to none i ll certainli be buy from you in futur keep up the good work guy to order pleas open warezcd html in attach,1477,313,1
interim report to gari hickerson for ag trade vinc pleas find attach the interim report on agricultur commod trade for gari hickerson your comment are welcom as we would like to send thi to gari as soon as possibl regard kate ext,229,42,0
re possibl summer internship with enron vinc and datren i have schedul a telephon interview with ainsley thi afternoon thursday at pm her telephon no is you can use confer room ebl thank forward by shirley crenshaw hou ect on am ainsley gaddi on pm to cc subject re possibl summer internship with enron hi ms crenshaw the best time for the interview would be tomorrow thursday around you can reach me at talk to you then sincer ainsley gaddi,441,80,0
zimin s father vinc and stinson i have to go back to china to attend my father s funer on saterday jan my father pass away last sunday my schedul is leav houston jan thursday arriv houston jan saterday i will take care of a few thing befor i go review for paulo and bob talk to alex on the compound option on a power plant talk to bob on volatil and correl skew to finish up thi project for john arnold telephon interview for japan offic zimin,443,88,0
re eol price algorithm hi bob some comment you request enron posit after success market order but not after limit order you may want it after limit order as well to be consist i am not clear on how you would use enron posit it is possibl that the trade desk will have a target posit in mind and they will set bid and offer in such a way as to tri to achiev that target posit but thi target posit probabl chang continu and is not store anywher and without thi target posit there is noth to compar actual enron posit to of cours enron posit may still provid some insight you request bid mid ask price for each trade given that a success trade may execut later than time of order especi for limit order would you need the evolut or rang of bid mid ask over thi time interv time of order to time of execut also for fail trade you may need the evolut or rang of bid mid ask over the time interv from time of order to time of reject thi again mainli appli to limit order as the time interv may not be signific for market order given the speed of execut someth to check origin messag from lee bob sent monday april am to kaminski vinc shanbhogu vasant barkley tom cc lu zimin huang alex gibner stinson subject eol price algorithm a draft data request for eol data we would use to studi p l pattern for the georg price algorithm is attach for your review i would like to send thi to andi zipper and jay webb thi afternoon bob,1417,279,0
in confid prc summari hi vinc follow our prc meet yesterday here are the high level fact as i present them ben parson overal satisfactori good interperson skill we have question on hi quant abil reluct to discuss share hi model work and that which i have seen ha too mani hand fix to give me confid in hi rigour other enroncredit com feedback indic that he is sometim prepar to compromis quant analysi to keep the trader happi matthew william overal excel superior quant skill excel everywher els recommend for promot to senior specialist kirste hewitt overal excel a solid all round perform and a huge workload in recognit of the level of respons kirste is bear i m recommend her for promot to senior specialist sharad agnihotri overal excel superior quant skill excel everywher els veri self direct and commerci mind alreadi oper at manag level in my opinion flag for promot next mid year if perform continu at thi level slava danilov overal excel superior quant skill excel everywher els as a non commerci type quant he is hard to fault but will probabl never work on a trade desk alreadi oper at manag level in term of hi depth and rigour of analysi and the extent to which he is contribut to the team flag for promot next mid year if perform continu at thi level steve,1273,231,0
linux hit or miss network world fusion focu phil hochmuth on linux today s focu will linux be a hit or miss on the corpor desktop dear wincenti kaminski today s focu will linux be a hit or miss on the corpor desktop by phil hochmuth so far thi year the buzz about linux in enterpris network ha focus on server and embed system with the growth of linux sever be most herald accord to idc a research firm base in framingham mass linux wa the fastest grow server oper system last year with a growth rate over the year befor linux wa the second most ship oper system in after window nt captur of new licens ship as for the embed market linux ha emerg as an ideal platform for network applianc becaus the system can be modifi to handl special dedic task veri well compani such as cobalt network picazo and progress system have announc linux base applianc rang from web server to pbx to firewal but what of the open sourc hacker s dream of linux on everi desktop sure linux on the desktop ha becom more access than ever with color shrink wrap box of caldera red hat and corel linux now avail at place like compusa howev analyst have said that linux s growth in the enterpris will be limit to the macro and micro area of network server and embed oper system accord to idc linux current run on onli of u s desktop the hold microsoft window ha on the desktop market will remain strong analyst say despit such factor as microsoft s antitrust problem and the surg popular of linux even some linux execut are skeptic of their product s desktop futur recent suse ceo roland dyroff downplay linux s futur on desktop dyroff said given the lack of applic avail we realli can t claim it as be competit on the desktop yet a recent survey by survey com give more hope for linux desktop accord to the survey of enterpris network manag open sourc oper system are use on of desktop with the number jump to a surpris of enterpris desktop by despit the mix of number be thrown around two import factor that will determin the success of linux as an enterpris client desktop are a standard easi to use graphic user interfac gui and avail applic one compani that is work to make linux more user friendli is palo alto base eazel which is design a next gener file manag system and user interfac to run on top of the linux kernel accord to eazel s web site the compani s goal is to bring linux to the mass and do it in a way that appeal to today s linux user and to mere mortal the compani wa found by a group of former appl execut and is alli with the gnome project which ha been do extens linux desktop environ develop for sever year eazel is due to have a product out by the middl of thi year with an intuit icon base file manag environ eazel is hope it user interfac will be an improv over the two current linux gui gnome and kde and will help standard the look and feel of linux for regular user for enterpris manger who have alreadi embrac linux on the server side thi develop will be worth keep an eye on on the applic side sever offic product suit have been avail for some time such as sun s staroffic suit and koffic for the kde desktop corel ha also port it offic product such as wordperfect over to linux to complement it own distribut of the oper system while there have been recent rumor start by linux care vice presid arthur tyde that microsoft is work on a port of ms offic to linux microsoft offici deni thi while linux may never supplant window as the industri standard desktop there should be plenti of opportun for linux pc in enterpris net in the futur to contact phil hochmuth phil hochmuth is a writer and research for network world and a former system integr you can reach him at mailto phochmut nww com for relat link click here for network world s home page http www nwfusion com staroffic softwar from sun http www sun com staroffic corel linux os http www corel com freedom freedom htm eazel http www eazel com gnome the gnu network object model environ http www gnome org koffic the integr offic suit for kde the k desktop environ http koffic kde org cobalt network inc http www cobaltnetwork com progress system http www progress system com picazo http www picazo com other linux relat articl from network world activ directori upgrad requir strong game plan network world subscript servic to subscrib or unsubscrib to ani network world e mail newslett go to to chang your email address go to subscript question contact custom servic by repli to thi messag other question comment have editori comment write jeff caruso newslett editor at mailto jcaruso nww com for advertis inform write jami kalbach account execut at mailto jkalbach nww com network world fusion is part of idg net the idg onlin network it all start here http www idg com copyright network world inc,4766,890,0
re seminar on beyond ol i have reserv eb cl from pm pm just a remind that the th is the research christma parti at damian from pm shirley vinc j kaminski am to clayton vernon corp enron enron shirley crenshaw hou ect ect cc vinc j kaminski hou ect ect subject re seminar on beyond ol shirley can you reserv the room for tue dec vinc forward by vinc j kaminski hou ect on am clayton vernon enron pm to vinc j kaminski hou ect ect cc subject re seminar on beyond ol vinc georg just rememb the trader meet monday and wednesday afternoon at he s go to email you i think tuesday would ensur a turnout of trader as well as analyst we could easili have peopl there from power alon and there s alway ga when you decid the time can you ask shirley to reserv a confer room along the size of cl clayton,791,159,0
